City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,ubatuba,-23.4339,-45.0711,80.53,78,18,5.82,BR,1704653883
1,bredasdorp,-34.5322,20.0403,64.02,66,98,3.49,ZA,1704653883
2,blackmans bay,-43.0167,147.3167,59.13,95,100,1.99,AU,1704653883
3,ust-tsilma,65.441,52.1498,-0.26,99,90,3.94,RU,1704653883
4,tura,25.5198,90.2201,57.69,54,0,2.68,IN,1704653883
5,georgetown,5.4112,100.3354,78.75,91,20,3.44,MY,1704653884
6,ribeira grande,38.5167,-28.7,64.8,72,75,21.85,PT,1704653884
7,sarikei,2.1167,111.5167,75.09,98,100,1.61,MY,1704653884
8,petropavlovsk-kamchatsky,53.0452,158.6483,3.45,78,0,13.42,RU,1704653884
9,port alfred,-33.5906,26.891,67.17,91,100,1.01,ZA,1704653657
10,waitangi,-43.9535,-176.5597,56.82,80,48,3.0,NZ,1704653884
11,longyearbyen,78.2186,15.6401,1.24,60,0,12.66,SJ,1704653885
12,port elizabeth,-33.918,25.5701,68.31,79,75,5.75,ZA,1704653885
13,bolgatanga,10.7856,-0.8514,86.38,14,60,6.91,GH,1704653885
14,iqaluit,63.7506,-68.5145,-13.27,77,20,4.61,CA,1704653885
15,wailua homesteads,22.0669,-159.378,68.79,78,75,5.75,US,1704653885
16,ahvaz,31.3203,48.6693,60.75,44,0,4.61,IR,1704653885
17,tangalle,6.024,80.7911,77.16,91,99,8.81,LK,1704653886
18,sao jose da coroa grande,-8.8978,-35.1478,84.51,57,0,10.78,BR,1704653886
19,saint-denis,48.9167,2.3333,37.94,86,100,16.11,FR,1704653886
20,le port,-20.9373,55.2919,80.56,82,70,5.26,RE,1704653886
21,stanley,54.868,-1.6985,37.78,96,75,5.75,GB,1704653886
22,genhe,50.7833,121.5167,-27.18,100,25,1.48,CN,1704653886
23,west island,-12.1568,96.8225,80.58,89,75,13.8,CC,1704653886
24,grytviken,-54.2811,-36.5092,43.38,68,27,3.69,GS,1704653887
25,puerto natales,-51.7236,-72.4875,55.85,35,40,17.27,CL,1704653887
26,talakan,50.3167,130.3667,-23.3,99,52,3.33,RU,1704653887
27,invercargill,-46.4,168.35,56.01,96,100,3.24,NZ,1704653887
28,chui,-33.6971,-53.4616,83.05,59,100,6.38,UY,1704653887
29,wewak,-3.5534,143.6268,77.72,88,100,5.01,PG,1704653887
30,kingston,17.997,-76.7936,87.24,69,20,25.32,JM,1704653596
31,albany,42.6001,-73.9662,32.38,89,100,4.9,US,1704653246
32,bodo,67.28,14.405,39.24,83,40,16.11,NO,1704653888
33,farmville,37.3021,-78.3919,54.18,54,75,3.44,US,1704653888
34,acarau,-2.8856,-40.12,85.84,64,100,15.43,BR,1704653888
35,princeville,45.7668,-61.2985,26.91,72,75,8.05,CA,1704653888
36,olonkinbyen,70.9221,-8.7187,33.71,89,100,23.31,SJ,1704653888
37,christchurch,-43.5333,172.6333,66.42,79,11,14.97,NZ,1704653888
38,constantia,44.1833,28.65,50.7,97,100,11.21,RO,1704653754
